"","Latent_Class","Multi","CMulti","Eye","Circulatory","Endocrine","Muscular","Neoplasm","Mental","Nervous","Respiratory","Lung_cancer","Multi_4","CMulti_4","Eye_4","Circulatory_4","Endocrine_4","Muscular_4","Neoplasm_4","Mental_4","Nervous_4","Respiratory_4","Multi_cov","CMulti_cov","Eye_cov","Circulatory_cov","Endocrine_cov","Muscular_cov","Neoplasm_cov","Mental_cov","Nervous_cov","Respiratory_cov","Lung_cancer_cov","Multi_cov_4","CMulti_cov_4","Eye_cov_4","Circulatory_cov_4","Endocrine_cov_4","Muscular_cov_4","Neoplasm_cov_4","Mental_cov_4","Nervous_cov_4","Respiratory_cov_4"
"1","Latent Class 1",0.482,0.177,0.345,0.445,0.083,0.392,0.054,1,0.554,0.089,0.094,0.263,0.064,0.1,0.305,0.058,0.257,0.023,0.866,0,0.082,0.484,0.179,0.343,0.447,0.083,0.397,0.054,0.767,0.457,0.09,0.154,0.266,0.066,0.1,0.306,0.058,0.262,0.023,0.895,0.022,0.083
"2","Latent Class 2",0.439,0.14,0.313,0.479,0.077,0.32,0.032,1,0.306,0.097,0.111,0.252,0.06,0.115,0.335,0.047,0.237,0.015,0.906,0,0.084,0.447,0.145,0.321,0.481,0.075,0.332,0.032,0.747,0.45,0.098,0.171,0.257,0.062,0.118,0.337,0.046,0.246,0.016,0.919,0.012,0.085
"3","Latent Class 3",0.482,0.19,0.336,0.434,0.086,0.405,0.034,1,0.602,0.109,0,0.257,0.04,0.104,0.282,0.037,0.224,0.017,0.894,0.032,0.104,0.489,0.196,0.341,0.439,0.088,0.407,0.036,0.767,0.558,0.11,0,0.264,0.045,0.109,0.288,0.039,0.229,0.017,0.877,0.045,0.105
"4","Latent Class 4",0.519,0.227,0.287,0.534,0.134,0.444,0.028,1,0.722,0.141,0.126,0.302,0.077,0.095,0.277,0.039,0.308,0.023,0.887,0,0.09,0.52,0.229,0.291,0.535,0.133,0.444,0.028,0.736,0.954,0.142,0.11,0.304,0.078,0.097,0.279,0.039,0.308,0.023,0.853,0.017,0.09
"5","Latent Class 5",0.601,0.248,0.439,0.488,0.147,0.496,0.035,0.82,0.631,0.143,0,0.371,0.12,0.143,0.386,0.078,0.345,0.014,0.908,0.078,0.109,0.594,0.242,0.433,0.484,0.148,0.489,0.034,0.725,0.401,0.141,0,0.365,0.117,0.138,0.381,0.078,0.338,0.013,0.864,0.103,0.108
"6","Latent Class 6",0.571,0.296,0.384,0.517,0.221,0.518,0.046,0.77,0.32,0.121,0,0.444,0.17,0.15,0.497,0.12,0.406,0.038,0.968,0,0.1,0.561,0.287,0.378,0.51,0.219,0.507,0.045,0.558,0.579,0.119,0,0.433,0.163,0.144,0.49,0.119,0.395,0.037,0.966,0.05,0.098
